Material composition,GGA Band gap (eV),Stability (meV/atom),Formation energy (eV/atom)
H7Zn1C3Cl3,4.361,192.059,0.003
H7Zn1C3F3,4.862,266.704,-0.309
I3H7Zn1C3,2.966,211.905,0.112
Pb1I3C3H7,1.751,218.186,0.106
Pb1H7C3Br3,2.299,188.035,0.036
Pb1H7C3Cl3,2.744,175.111,-0.017
Pb1H7C3F3,3.662,238.773,-0.356
H8C2Ba1Br3N1,4.403,108.860,-0.334
H8C2Cl3Ba1N1,5.099,117.726,-0.395
H8C2F3Ba1N1,5.420,186.040,-0.721
I3H8C2Ba1N1,3.802,100.390,-0.240
Be1C2N1Br3H8,4.628,93.822,-0.114
Be1C2N1Cl3H8,5.325,87.964,-0.200
Be1C2N1F3H8,6.412,136.879,-0.651
I3Be1C2N1H8,3.953,114.164,0.001
H8Ca1C2Br3N1,4.295,118.532,-0.289
H8Ca1Cl3C2N1,4.965,125.378,-0.355
H8Ca1F3C2N1,5.205,197.918,-0.722
I3H8Ca1C2N1,3.583,115.077,-0.195
H8C2N1Br3Cd1,3.176,122.587,-0.053
H8C2N1Cl3Cd1,3.689,127.564,-0.096
H8C2N1F3Cd1,3.737,181.238,-0.390
I3H8C2N1Cd1,0.916,123.070,0.024
H8C2Co1Br3N1,2.211,73.581,0.019
H8C2Cl3Co1N1,2.556,66.061,-0.042
H8C2F3Co1N1,3.048,182.863,-0.366
I3H8C2Co1N1,1.708,110.930,0.100
H8C2Br3Cu1N1,0.362,132.022,0.073
H8C2Cl3Cu1N1,0.503,124.606,0.025
H8C2F3Cu1N1,0.877,247.244,-0.259
I3H8C2Cu1N1,0.001,149.222,0.132
H8C2Fe1Br3N1,3.781,57.581,-0.028
H8C2Cl3Fe1N1,4.120,49.963,-0.094
H8C2F3Fe1N1,3.781,189.267,-0.429
I3H8C2Fe1N1,3.033,71.082,0.060
H8Ge1C2Br3N1,2.636,88.793,-0.024
H8Ge1Cl3C2N1,3.506,72.255,-0.084
H8Ge1F3C2N1,4.747,98.656,-0.454
I3H8Ge1C2N1,1.862,103.352,0.053
H8Mg1Cl3C2N1,4.724,137.758,-0.235
H8Mg1Cl3C2N1,4.724,137.758,-0.235
H8Mg1F3C2N1,4.906,197.259,-0.644
I3H8Mg1C2N1,1.732,134.272,-0.060
H8C2Mn1Br3N1,2.982,89.507,-0.071
H8C2Mn1Cl3N1,3.898,84.669,-0.134
H8C2Mn1F3N1,3.602,181.168,-0.487
I3H8C2Mn1N1,1.451,91.877,0.019
Ni1C2N1Br3H8,2.425,173.360,0.103
Ni1C2N1Cl3H8,2.935,160.280,0.043
